player_id,name,age,position,nationality,club,market_value,goals,assists,minutes_played,contract_years_left
1,Player_0,22,GK,England,Club_0,€603K,0,0,655,5
2,Player_1,35,CB,Spain,Club_1,€416K,2,1,1921,1
3,Player_2,30,LB,Germany,Club_2,€817K,1,3,3387,1
4,Player_3,26,RB,France,Club_3,€600K,3,0,2741,0
5,Player_4,23,CDM,Brazil,Club_4,€536K,1,0,2077,3
6,Player_5,22,CM,Argentina,Club_5,€1M,1,2,1619,2
7,Player_6,34,CAM,Italy,Club_6,€1M,7,4,3749,1
8,Player_7,26,LM,Portugal,Club_7,€1M,0,0,1119,5
9,Player_8,26,RM,Netherlands,Club_8,€1M,2,0,3452,2
10,Player_9,19,LW,Belgium,Club_9,€1M,1,0,777,5
11,Player_10,23,RW,England,Club_10,€1M,0,0,443,2
12,Player_11,18,ST,Spain,Club_11,€2M,0,0,297,1
13,Player_12,17,GK,Germany,Club_12,€463K,0,1,807,4
14,Player_13,27,CB,France,Club_13,€1M,0,1,1760,2
15,Player_14,21,LB,Brazil,Club_14,€517K,0,0,844,4
16,Player_15,17,RB,Argentina,Club_15,€626K,0,0,1015,3
17,Player_16,16,CDM,Italy,Club_16,€830K,0,1,1384,2
18,Player_17,27,CM,Portugal,Club_17,€1M,2,1,1397,0
19,Player_18,27,CAM,Netherlands,Club_18,€1M,0,0,553,5
20,Player_19,32,LM,Belgium,Club_19,€935K,1,2,2350,3
21,Player_20,25,RM,England,Club_20,€556K,0,0,420,3
22,Player_21,31,LW,Spain,Club_21,€657K,0,0,1269,4
23,Player_22,30,RW,Germany,Club_22,€1M,2,0,3791,1
24,Player_23,30,ST,France,Club_23,€2M,0,2,1260,5
25,Player_24,34,GK,Brazil,Club_24,€562K,6,1,3605,0
26,Player_25,27,CB,Argentina,Club_25,€762K,0,0,184,0
27,Player_26,35,LB,Italy,Club_26,€275K,1,0,467,4
28,Player_27,18,RB,Portugal,Club_27,€489K,1,0,2801,4
29,Player_28,20,CDM,Netherlands,Club_28,€1M,2,1,2410,3
30,Player_29,34,CM,Belgium,Club_29,€1M,1,1,1306,4
31,Player_30,22,CAM,England,Club_30,€1M,1,1,1576,1
32,Player_31,24,LM,Spain,Club_31,€924K,0,0,335,3
33,Player_32,22,RM,Germany,Club_32,€1M,1,0,2209,3
34,Player_33,33,LW,France,Club_33,€1M,2,2,3231,3
35,Player_34,19,RW,Brazil,Club_34,€1M,0,0,1497,0
36,Player_35,29,ST,Argentina,Club_35,€3M,0,5,3672,5
37,Player_36,33,GK,Italy,Club_36,€560K,2,0,3393,5
38,Player_37,24,CB,Portugal,Club_37,€1M,1,1,2059,0
39,Player_38,17,LB,Netherlands,Club_38,€891K,0,0,1447,3
40,Player_39,35,RB,Belgium,Club_39,€579K,3,2,3144,1
41,Player_40,30,CDM,England,Club_40,€782K,0,0,587,2
42,Player_41,22,CM,Spain,Club_41,€665K,0,0,1881,3
43,Player_42,27,CAM,Germany,Club_42,€1M,0,0,200,4
44,Player_43,23,LM,France,Club_43,€1M,0,0,521,5
45,Player_44,30,RM,Brazil,Club_44,€1M,2,0,1887,2
46,Player_45,18,LW,Argentina,Club_45,€2M,2,3,2552,0
47,Player_46,29,RW,Italy,Club_46,€1M,1,0,1711,0
48,Player_47,32,ST,Portugal,Club_47,€857K,0,0,787,2
49,Player_48,19,GK,Netherlands,Club_48,€673K,1,0,3110,5
50,Player_49,33,CB,Belgium,Club_49,€866K,0,0,59,5
51,Player_50,23,LB,England,Club_50,€710K,0,0,577,4
52,Player_51,19,RB,Spain,Club_51,€411K,0,0,320,0
53,Player_52,17,CDM,Germany,Club_52,€508K,1,0,1458,0
54,Player_53,21,CM,France,Club_53,€1M,2,0,3707,3
55,Player_54,25,CAM,Brazil,Club_54,€1M,2,3,3747,1
56,Player_55,19,LM,Argentina,Club_55,€1M,2,0,3479,4
57,Player_56,33,RM,Italy,Club_56,€778K,3,1,2037,3
58,Player_57,27,LW,Portugal,Club_57,€1M,0,0,922,1
59,Player_58,17,RW,Netherlands,Club_58,€1M,0,0,1409,0
60,Player_59,25,ST,Belgium,Club_59,€2M,1,1,1694,1
61,Player_60,19,GK,England,Club_60,€623K,2,0,568,0
62,Player_61,29,CB,Spain,Club_61,€876K,0,0,1101,5
63,Player_62,31,LB,Germany,Club_62,€304K,2,0,3265,3
64,Player_63,30,RB,France,Club_63,€371K,1,0,3356,0
65,Player_64,23,CDM,Brazil,Club_64,€408K,0,0,526,1
66,Player_65,29,CM,Argentina,Club_65,€942K,0,1,2571,3
67,Player_66,23,CAM,Italy,Club_66,€799K,0,2,2660,1
68,Player_67,31,LM,Portugal,Club_67,€1M,2,0,3227,1
69,Player_68,28,RM,Netherlands,Club_68,€1M,3,0,3411,2
70,Player_69,33,LW,Belgium,Club_69,€2M,2,2,2172,0
71,Player_70,30,RW,England,Club_70,€1M,0,1,870,0
